state,org,report,url,status,provenance,frequency,units,latest_known,verified,in_dataset
NE,Nebraska Forest Service,Timber Talk,https://nfs.unl.edu/timber-talk,stale,independent,"Quarterly (March, June, September, December)",$/MBF mill prices by species and grade,December 2025,2026-08-30,
PA,Penn State Extension,PA Woodlands Timber Market Report,https://extension.psu.edu/timber-market-report-archives,live,independent,Quarterly,$/MBF Doyle (stumpage + delivered),Q1 2026,2026-06-25,
ME,Maine Forest Service (DACF),"Stumpage Price Reports (annual, county-level)",https://www.maine.gov/dacf/mfs/publications/annual_reports.html,live,independent,Annual,"$/MBF, $/cord, $/ton by product",2024 data (published Dec 2025),2026-06-25,
NY,NYS Department of Environmental Conservation,Stumpage Price Report,https://dec.ny.gov/nature/forests-trees/private-forest-management/stumpage-price-reports,live,independent,Semi-annual,$/MBF (Doyle & International) sawtimber; $/cord pulp,Winter 2025 (#106),2026-06-25,
VT,"VT Department of Forests, Parks & Recreation",Stumpage Price Reports,https://fpr.vermont.gov/stumpage-price-reports,stale,independent,Quarterly (nominal),$/MBF International sawtimber; $/cord pulp/firewood,2023 Q3,2026-08-30,
NH,NH Department of Revenue Administration,Average Stumpage Value Information,https://www.revenue.nh.gov/taxes-glance/timber-tax/average-stumpage-value-information,live,tax,Semi-annual,"$/MBF, $/cord, $/ton (suggested low–high)",Oct 2025–Mar 2026,2026-06-25,
WV,WVU Appalachian Hardwood Center + WV Division of Forestry,West Virginia Timber Prices (interactive tool),https://timberprices.wvu.edu/,live,independent,Semi-annual,$/MBF Doyle,Jan 2026,2026-06-25,
MA,UMass MassWoods,Southern New England Stumpage Survey (MA/CT/RI),https://masswoods.org/southern-new-england-stumpage-survey,live,independent,Quarterly,"$/MBF, $/cord, $/ton (median + range)",Q1 2026,2026-06-25,
CT,UMass MassWoods,Southern New England Stumpage Survey (MA/CT/RI),https://masswoods.org/southern-new-england-stumpage-survey,live,independent,Quarterly,"$/MBF, $/cord, $/ton (median + range)",,2026-06-25,
RI,UMass MassWoods,Southern New England Stumpage Survey (MA/CT/RI),https://masswoods.org/southern-new-england-stumpage-survey,live,independent,Quarterly,"$/MBF, $/cord, $/ton (median + range)",,2026-06-25,
MD,University of Maryland Extension,Maryland/Delaware Stumpage Price Report,https://extension.umd.edu/resource/timber-market-resources,dead,independent,Biannual (while published),,Mid-2006 (archive),2026-08-30,
DE,University of Maryland Extension,Maryland/Delaware Stumpage Price Report,https://extension.umd.edu/resource/timber-market-resources,dead,independent,Biannual (while published),,Mid-2006 (archive),2026-08-30,
OR,Oregon Department of Forestry,State-Forest Timber Sale Results,https://apps.odf.oregon.gov/Divisions/management/asset_management/saleresults.asp,live,independent,Rolling (~3-year window),$/MBF Scribner (winning auction bids),,2026-06-25,or_odf
OR,Oregon Department of Forestry,Third-Party Log Prices (open data),https://data.oregon.gov/Natural-Resources/Third-Party-Log-Prices/fttw-7ukt,stale,independent,,$/MBF pond (delivered),,2026-06-25,
WA,Washington Department of Revenue,Stumpage Value Determination Tables,https://dor.wa.gov/taxes-rates/other-taxes/forest-tax/stumpage-value-determination-tables,live,tax,Semi-annual,$/MBF,2026 H1,2026-06-25,
WA,Washington DNR,Timber Auction Results / Bid Records,https://www.dnr.wa.gov/programs-and-services/product-sales-and-leasing/timber-sales/timber-auction-results,live,independent,Monthly auctions,$/MBF Scribner (realized bids),,2026-06-25,
MT,University of Montana BBER,Quarterly Log Prices (delivered),https://www.bber.umt.edu/fir/F_LogPrice.asp,live,independent,Quarterly,$/MBF Scribner (mill-DELIVERED),,2026-06-25,mt_bber
MT,Montana DNRC,Trust-Land Timber Sale Bid Results,https://dnrc.mt.gov/Forestry/Forest-Products/timber-sales,live,independent,Per sale (FY2023→),"$/ton (winning bids, volume-weighted)",,2026-06-25,mt_dnrc
CA,California CDTFA,Timber Yield Tax — Harvest Value Schedules,https://www.cdtfa.ca.gov/taxes-and-fees/timber-yield-tax/harvest-value-and-statistics.htm,live,tax,Semi-annual,$/MBF net Scribner,2026 H1,2026-06-25,
ID,Idaho Department of Lands,Endowment Timber Sales (+ monthly Land Board sale reports),https://www.idl.idaho.gov/about-forestry/endowment-timber-sales/,live,independent,Annual (FY) + monthly sale reports,$/MBF Scribner (auction),,2026-06-25,
AK,Alaska DNR Division of Forestry,Timber Sales,https://forestry.alaska.gov/timber/,live,independent,,$/MBF Scribner long-log,,2026-06-25,
INTL,BC Ministry of Forests (Canada),Interior & Coast Log Market Reports,https://www2.gov.bc.ca/gov/content/industry/forestry/competitive-forest-industry/timber-pricing/interior-timber-pricing/interior-log-market-reports,live,independent,Rolling 3-month,C$/m³,3 months ending 2026-01-31 (Interior),2026-08-30,
INTL,UN Economic Commission for Europe / FAO,Forest Products Annual Market Review,https://unece.org/forests/forest-products-annual-market-review,stale,independent,Annual (November),,2023—2024 (Nov 2024),2026-08-30,
